method,num_subject,num_room,num_conflict,status,duration
cp,10,2,4,4,0.49084317207336425
cp,10,2,12,4,2.409427309036255
cp,10,2,24,4,0.1533294010162353
cp,10,2,40,2,120.0688778758049
cp,10,2,40,4,5.688556716555642
cp,16,3,12,2,120.16080477502611
cp,16,3,12,4,9.34059953689577
cp,16,3,24,4,26.632832860946657
cp,16,3,40,4,29.865354696909588
cp,16,3,60,4,2.058233127593994
cp,20,4,24,2,120.24179538091023
cp,20,4,24,4,22.627694487571716
cp,20,4,40,2,120.34728598594666
cp,20,4,40,4,31.651297152042392
cp,20,4,60,2,120.26167392730711
cp,20,4,60,4,4.925989389419556
cp,20,4,80,2,120.26997911930084
cp,20,4,80,4,2.328537940979004
cp,30,6,40,2,120.6636045575142
cp,30,6,40,4,14.64713168144226
cp,30,6,60,2,120.79279608726502
cp,30,6,80,2,120.87253683805466
cp,30,6,80,4,2.735701560974121
cp,40,8,60,2,121.95281572341919
cp,40,8,80,2,121.91218132972718
cp,40,8,120,2,121.85713958740234
cp,40,8,120,4,4.3448216915130615
cp,50,10,80,2,123.15970330238342
cp,50,10,120,2,122.97882928848267
mip,10,2,4,0,0.298319091796875
mip,10,2,12,0,0.5232238960266113
mip,10,2,24,0,0.542741003036499
mip,10,2,40,0,1.0733809757232666
mip,16,3,12,0,3.97583215713501
mip,16,3,24,0,4.459830074310303
mip,16,3,40,0,4.9900545978546145
mip,16,3,60,0,70.16117076873779
mip,20,4,24,0,103.45699887275696
mip,20,4,40,0,11.839481472969055
mip,20,4,40,1,118.23851680755617
mip,20,4,60,0,27.370771837234496
mip,20,4,80,0,10.589450895786285
mip,20,4,80,1,119.7361741065979
mip,30,6,40,0,15.31601196527481
mip,30,6,40,1,114.1826183795929
mip,30,6,60,1,117.85455508232117
mip,30,6,80,0,62.58321499824524
mip,30,6,80,1,118.4037200609843
mip,40,8,60,0,66.67634852727254
mip,40,8,60,1,102.94201529026031
mip,40,8,80,1,109.98844909667969
mip,40,8,120,0,42.30163514614105
mip,40,8,120,1,116.66744605700175
mip,50,10,80,1,98.51613819599152
mip,50,10,80,6,105.9645893573761
mip,50,10,120,1,108.302787733078
