subjects,number_student,rooms,num_seat,day,section
10,38,4,47,0,0
11,31,0,47,0,0
20,24,5,46,0,0
25,31,7,49,0,0
27,24,2,43,0,0
30,21,6,42,0,0
1,26,7,49,0,1
12,40,4,47,0,1
14,33,0,47,0,1
16,39,2,43,0,1
23,38,6,42,0,1
24,30,1,47,0,1
29,21,3,23,0,1
4,39,4,47,0,2
18,32,7,49,0,2
19,29,0,47,0,2
21,25,1,47,0,2
22,27,6,42,0,2
26,36,2,43,0,2
35,26,5,46,0,2
7,31,7,49,0,3
13,24,6,42,0,3
17,32,1,47,0,3
31,30,0,47,0,3
32,23,3,23,0,3
33,34,4,47,0,3
34,37,2,43,0,3
39,31,5,46,0,3
0,29,7,49,1,0
15,27,4,47,1,0
28,20,3,23,1,0
37,28,0,47,1,0
2,39,0,47,1,1
3,37,7,49,1,1
5,21,4,47,1,1
6,32,2,43,1,1
8,37,5,46,1,1
9,33,1,47,1,1
36,20,3,23,1,1
38,20,6,42,1,1
