subjects,number_student,rooms,num_seat,day,section
15,33,6,48,0,0
22,20,7,23,0,0
23,35,1,50,0,0
25,33,3,42,0,0
35,29,4,43,0,0
0,31,6,48,0,1
10,31,5,36,0,1
13,31,4,43,0,1
7,22,7,23,0,2
8,30,2,30,0,2
14,35,3,42,0,2
16,24,4,43,0,2
17,35,5,36,0,2
20,23,1,50,0,2
26,37,0,50,0,2
38,27,6,48,0,2
1,23,7,23,0,3
4,27,2,30,0,3
9,37,3,42,0,3
18,33,6,48,0,3
27,35,5,36,0,3
29,38,1,50,0,3
32,25,4,43,0,3
39,34,0,50,0,3
3,34,0,50,1,0
5,37,1,50,1,0
12,38,4,43,1,0
19,26,2,30,1,0
24,22,7,23,1,0
31,39,3,42,1,0
34,28,5,36,1,0
36,39,6,48,1,0
2,40,1,50,1,1
6,40,4,43,1,1
11,35,0,50,1,1
21,25,2,30,1,1
28,28,3,42,1,1
30,37,6,48,1,1
33,20,7,23,1,1
37,34,5,36,1,1
