subjects,number_student,rooms,num_seat,day,section
3,33,4,34,0,0
9,40,8,42,0,0
11,27,3,27,0,0
14,37,7,37,0,0
36,40,1,48,0,0
38,30,9,50,0,0
39,40,2,44,0,0
0,38,9,50,0,1
1,24,0,25,0,1
2,23,5,23,0,1
7,27,3,27,0,1
12,40,2,44,0,1
16,28,1,48,0,1
23,32,7,37,0,1
24,39,8,42,0,1
29,20,6,21,0,1
37,34,4,34,0,1
4,38,8,42,0,2
5,26,3,27,0,2
15,38,2,44,0,2
21,36,7,37,0,2
32,33,4,34,0,2
33,23,5,23,0,2
34,38,1,48,0,2
42,35,9,50,0,2
48,25,0,25,0,2
8,28,8,42,0,3
13,37,7,37,0,3
17,32,1,48,0,3
18,36,2,44,0,3
22,33,4,34,0,3
26,24,0,25,0,3
28,26,3,27,0,3
31,40,9,50,0,3
35,21,6,21,0,3
40,23,5,23,0,3
6,30,1,48,1,0
19,27,3,27,1,0
20,40,8,42,1,0
27,39,9,50,1,0
41,28,4,34,1,0
43,20,5,23,1,0
44,25,0,25,1,0
45,28,7,37,1,0
49,40,2,44,1,0
10,22,0,25,1,1
25,24,9,50,1,1
30,26,3,27,1,1
46,23,5,23,1,1
47,26,8,42,1,1
