subjects,number_student,rooms,num_seat,day,section
0,23,2,32,0,0
2,31,7,43,0,0
4,37,1,39,0,0
10,36,0,42,0,0
13,20,6,22,0,0
26,28,4,29,0,0
34,39,5,46,0,0
37,24,3,29,0,0
6,20,4,29,0,1
20,31,2,32,0,1
32,31,5,46,0,1
15,32,1,39,0,2
17,34,5,46,0,2
22,38,0,42,0,2
25,23,4,29,0,2
27,36,7,43,0,2
29,22,6,22,0,2
31,28,3,29,0,2
39,31,2,32,0,2
7,30,2,32,0,3
11,38,5,46,0,3
14,23,4,29,0,3
19,34,1,39,0,3
21,33,0,42,0,3
23,21,6,22,0,3
24,36,7,43,0,3
35,24,3,29,0,3
1,33,1,39,1,0
8,34,0,42,1,0
12,34,5,46,1,0
16,38,7,43,1,0
18,22,6,22,1,0
28,23,4,29,1,0
33,32,2,32,1,0
36,23,3,29,1,0
3,39,1,39,1,1
5,40,7,43,1,1
9,29,4,29,1,1
30,39,0,42,1,1
38,29,5,46,1,1
