subjects,number_student,rooms,num_seat,day,section
2,33,5,35,0,0
18,33,6,49,0,0
25,33,7,44,0,0
0,39,7,44,0,1
1,22,3,26,0,1
4,26,6,49,0,1
10,22,4,31,0,1
12,37,0,38,0,1
13,22,1,24,0,1
26,35,5,35,0,1
33,27,2,31,0,1
19,34,7,44,0,2
20,24,1,24,0,2
21,40,6,49,0,2
24,35,0,38,0,2
28,31,5,35,0,2
29,24,2,31,0,2
35,26,3,26,0,2
39,25,4,31,0,2
7,40,7,44,0,3
15,23,1,24,0,3
17,27,2,31,0,3
23,20,4,31,0,3
27,39,6,49,0,3
31,38,0,38,0,3
32,32,5,35,0,3
36,23,3,26,0,3
5,30,0,38,1,0
8,22,3,26,1,0
9,22,2,31,1,0
11,31,4,31,1,0
16,39,7,44,1,0
30,40,6,49,1,0
34,23,1,24,1,0
3,34,5,35,1,1
6,26,2,31,1,1
14,26,3,26,1,1
22,26,4,31,1,1
37,39,6,49,1,1
38,34,7,44,1,1
