subjects,number_student,rooms,num_seat,day,section
0,25,7,45,0,0
1,33,4,33,0,0
5,23,0,23,0,0
11,22,5,22,0,0
21,34,6,43,0,0
31,38,2,49,0,0
36,29,1,33,0,0
37,26,3,28,0,0
9,26,3,28,0,1
10,31,4,33,0,1
19,37,7,45,0,1
20,34,2,49,0,1
26,23,0,23,0,1
28,29,1,33,0,1
29,37,6,43,0,1
2,32,1,33,0,2
7,21,5,22,0,2
24,27,2,49,0,2
32,32,4,33,0,2
39,38,6,43,0,2
13,30,1,33,0,3
17,36,7,45,0,3
23,36,2,49,0,3
25,38,6,43,0,3
27,33,4,33,0,3
33,28,3,28,0,3
38,23,0,23,0,3
3,35,7,45,1,0
4,21,5,22,1,0
8,36,6,43,1,0
14,23,3,28,1,0
15,38,2,49,1,0
22,31,1,33,1,0
35,33,4,33,1,0
16,24,1,33,1,1
34,34,2,49,1,1
6,40,7,45,1,2
12,40,2,49,1,2
18,28,3,28,1,2
30,39,6,43,1,2
