subjects,number_student,rooms,num_seat,day,section
3,22,0,22,0,0
12,37,6,40,0,0
15,37,5,48,0,0
22,25,1,38,0,0
26,39,4,39,0,0
29,34,3,34,0,0
34,29,7,30,0,0
38,34,2,48,0,0
8,30,7,30,0,1
10,36,5,48,0,1
13,33,1,38,0,1
32,34,4,39,0,1
33,35,2,48,0,1
4,33,3,34,0,2
16,29,7,30,0,2
21,33,4,39,0,2
5,23,1,38,0,3
7,27,5,48,0,3
18,31,4,39,0,3
20,27,6,40,0,3
23,32,3,34,0,3
24,32,2,48,0,3
27,21,0,22,0,3
28,26,7,30,0,3
0,36,1,38,1,0
2,39,2,48,1,0
6,21,0,22,1,0
11,25,7,30,1,0
14,38,4,39,1,0
19,32,5,48,1,0
35,25,3,34,1,0
37,36,6,40,1,0
1,34,3,34,1,1
9,39,6,40,1,1
17,22,0,22,1,1
25,30,2,48,1,1
30,37,1,38,1,1
31,35,4,39,1,1
36,39,5,48,1,1
39,28,7,30,1,1
