subjects,number_student,rooms,num_seat,day,section
0,36,9,49,0,0
2,35,5,39,0,0
6,26,8,26,0,0
10,40,2,42,0,0
11,21,1,25,0,0
12,28,0,32,0,0
16,22,3,28,0,0
24,32,7,36,0,0
45,20,4,24,0,0
48,34,6,34,0,0
5,36,7,36,0,1
23,28,3,28,0,1
26,35,5,39,0,1
29,20,8,26,0,1
34,20,4,24,0,1
36,32,9,49,0,1
38,21,1,25,0,1
39,29,0,32,0,1
43,34,2,42,0,1
44,32,6,34,0,1
1,40,9,49,0,2
4,24,8,26,0,2
17,30,6,34,0,2
25,23,4,24,0,2
28,27,3,28,0,2
31,32,7,36,0,2
32,34,2,42,0,2
41,21,1,25,0,2
47,37,5,39,0,2
49,31,0,32,0,2
3,30,0,32,0,3
7,30,6,34,0,3
8,40,9,49,0,3
14,30,7,36,0,3
18,40,2,42,0,3
20,21,1,25,0,3
21,23,4,24,0,3
30,31,5,39,0,3
37,21,8,26,0,3
40,26,3,28,0,3
13,26,9,49,1,0
22,26,8,26,1,0
42,30,2,42,1,0
46,29,7,36,1,0
9,26,8,26,1,1
15,27,3,28,1,1
19,38,9,49,1,1
27,39,2,42,1,1
33,36,7,36,1,1
35,32,0,32,1,1
