subjects,number_student,rooms,num_seat,day,section
0,25,2,28,0,0
5,30,3,40,0,0
7,37,4,48,0,0
11,25,7,29,0,0
30,21,8,21,0,0
31,25,5,39,0,0
32,23,6,28,0,0
38,27,0,27,0,0
39,30,9,46,0,0
45,38,1,50,0,0
22,22,6,28,0,1
25,36,9,46,0,1
29,26,5,39,0,1
37,25,1,50,0,1
48,36,4,48,0,1
1,37,9,46,0,2
2,27,6,28,0,2
4,22,0,27,0,2
13,21,8,21,0,2
14,25,1,50,0,2
17,30,3,40,0,2
24,25,7,29,0,2
28,36,5,39,0,2
41,34,4,48,0,2
46,26,2,28,0,2
8,22,6,28,0,3
9,20,8,21,0,3
16,39,9,46,0,3
21,29,4,48,0,3
26,34,3,40,0,3
33,24,7,29,0,3
36,25,1,50,0,3
40,27,0,27,0,3
43,31,5,39,0,3
49,28,2,28,0,3
3,29,7,29,1,0
6,40,9,46,1,0
10,28,2,28,1,0
12,38,5,39,1,0
20,40,1,50,1,0
15,38,1,50,1,1
18,28,6,28,1,1
19,40,4,48,1,1
23,20,8,21,1,1
27,28,7,29,1,1
34,22,2,28,1,1
35,24,0,27,1,1
42,30,9,46,1,1
44,37,5,39,1,1
47,34,3,40,1,1
