subjects,number_student,rooms,num_seat,day,section
1,31,8,33,0,0
8,39,3,49,0,0
11,30,4,38,0,0
16,29,0,30,0,0
22,38,5,48,0,0
28,26,6,28,0,0
32,38,9,49,0,0
33,28,1,34,0,0
35,29,2,32,0,0
0,29,9,49,0,1
7,27,0,30,0,1
13,21,1,34,0,1
29,31,2,32,0,1
38,24,6,28,0,1
40,32,8,33,0,1
43,36,5,48,0,1
44,36,3,49,0,1
47,36,4,38,0,1
2,26,6,28,0,2
9,30,0,30,0,2
10,29,2,32,0,2
15,35,3,49,0,2
20,34,1,34,0,2
21,39,9,49,0,2
27,32,8,33,0,2
31,35,4,38,0,2
48,40,5,48,0,2
18,22,2,32,0,3
36,24,0,30,0,3
37,24,9,49,0,3
45,24,6,28,0,3
5,38,9,49,1,0
14,28,6,28,1,0
17,20,7,20,1,0
23,26,5,48,1,0
25,33,1,34,1,0
30,31,2,32,1,0
39,36,3,49,1,0
41,21,0,30,1,0
46,31,8,33,1,0
49,38,4,38,1,0
3,29,0,30,1,1
34,28,3,49,1,1
42,29,2,32,1,1
4,27,3,49,1,2
6,27,6,28,1,2
12,27,1,34,1,2
19,37,4,38,1,2
24,31,8,33,1,2
26,40,9,49,1,2
