subjects,number_student,rooms,num_seat,day,section
0,22,2,32,0,0
12,31,1,48,0,0
25,23,3,28,0,0
30,32,6,33,0,0
32,39,5,45,0,0
33,22,0,33,0,0
35,33,4,47,0,0
36,28,7,46,0,0
3,28,0,33,0,1
5,37,5,45,0,1
6,37,7,46,0,1
16,35,4,47,0,1
20,22,3,28,0,1
27,34,1,48,0,1
38,20,6,33,0,1
39,20,2,32,0,1
4,29,5,45,0,2
10,22,6,33,0,2
14,24,1,48,0,2
19,20,3,28,0,2
23,25,7,46,0,2
24,24,4,47,0,2
29,23,2,32,0,2
37,22,0,33,0,2
1,33,0,33,0,3
15,40,1,48,0,3
26,33,6,33,0,3
31,39,4,47,0,3
7,25,0,33,1,0
8,26,3,28,1,0
9,27,4,47,1,0
17,26,2,32,1,0
22,26,5,45,1,0
28,26,7,46,1,0
2,27,6,33,1,1
11,28,0,33,1,1
13,28,3,28,1,1
18,35,5,45,1,1
21,34,1,48,1,1
34,35,7,46,1,1
