subjects,number_student,rooms,num_seat,day,section
2,26,0,28,0,0
5,34,5,34,0,0
7,39,7,40,0,0
22,35,2,36,0,0
28,20,3,20,0,0
38,31,4,31,0,0
39,32,6,33,0,0
4,34,5,34,0,1
8,40,7,40,0,1
11,29,6,33,0,1
12,22,1,24,0,1
15,36,2,36,0,1
18,26,0,28,0,1
25,20,3,20,0,1
35,30,4,31,0,1
3,34,5,34,0,2
16,25,2,36,0,2
26,24,6,33,0,2
27,30,4,31,0,2
29,38,7,40,0,2
33,24,1,24,0,2
37,27,0,28,0,2
6,39,7,40,0,3
9,28,4,31,0,3
13,33,6,33,0,3
14,24,1,24,0,3
24,31,5,34,0,3
32,35,2,36,0,3
34,20,3,20,0,3
36,23,0,28,0,3
1,24,1,24,1,0
10,38,7,40,1,0
17,21,0,28,1,0
19,32,6,33,1,0
21,34,5,34,1,0
23,35,2,36,1,0
30,23,4,31,1,0
0,29,2,36,1,1
20,38,7,40,1,1
31,26,0,28,1,1
