subjects,number_student,rooms,num_seat,day,section
15,27,5,29,0,0
18,35,2,45,0,0
21,37,1,37,0,0
26,21,3,26,0,0
39,35,7,39,0,0
0,39,6,44,0,1
2,25,5,29,0,1
4,33,1,37,0,1
8,26,0,26,0,1
11,39,4,39,0,1
24,20,7,39,0,1
28,40,2,45,0,1
3,31,2,45,0,2
10,35,4,39,0,2
13,21,0,26,0,2
14,22,3,26,0,2
20,32,6,44,0,2
23,31,1,37,0,2
25,37,7,39,0,2
32,29,5,29,0,2
5,35,1,37,0,3
6,37,4,39,0,3
9,28,5,29,0,3
17,32,6,44,0,3
19,21,3,26,0,3
27,33,2,45,0,3
30,35,7,39,0,3
31,20,0,26,0,3
7,39,4,39,1,0
12,36,7,39,1,0
22,33,1,37,1,0
29,23,0,26,1,0
33,40,2,45,1,0
34,26,5,29,1,0
35,38,6,44,1,0
37,20,3,26,1,0
1,36,7,39,1,1
16,36,6,44,1,1
36,25,0,26,1,1
38,37,1,37,1,1
