subjects,number_student,rooms,num_seat,day,section
6,35,9,38,0,0
13,24,0,26,0,0
16,24,3,35,0,0
21,26,5,42,0,0
23,20,2,45,0,0
25,26,4,50,0,0
26,20,7,40,0,0
28,35,6,40,0,0
29,35,1,45,0,0
41,39,8,43,0,0
1,30,1,45,0,1
27,29,4,50,0,1
35,30,9,38,0,1
37,31,8,43,0,1
38,31,6,40,0,1
43,30,3,35,0,1
7,26,6,40,0,2
8,40,1,45,0,2
9,26,3,35,0,2
18,39,8,43,0,2
33,23,5,42,0,2
36,38,4,50,0,2
39,28,7,40,0,2
42,40,2,45,0,2
3,22,0,26,0,3
4,20,9,38,0,3
5,20,1,45,0,3
12,21,6,40,0,3
17,20,7,40,0,3
22,22,8,43,0,3
0,27,3,35,1,0
10,27,5,42,1,0
11,29,9,38,1,0
14,36,2,45,1,0
15,27,8,43,1,0
19,28,4,50,1,0
20,34,7,40,1,0
30,20,1,45,1,0
32,39,6,40,1,0
40,20,0,26,1,0
2,30,3,35,1,1
24,20,4,50,1,1
31,34,5,42,1,1
34,38,7,40,1,1
44,35,2,45,1,1
45,26,0,26,1,1
46,34,8,43,1,1
47,24,1,45,1,1
48,31,6,40,1,1
49,23,9,38,1,1
