subjects,number_student,rooms,num_seat,day,section
5,27,3,41,0,0
7,27,5,31,0,0
15,26,4,34,0,0
0,39,1,39,0,1
1,31,5,31,0,1
6,40,3,41,0,1
10,22,7,22,0,1
4,39,1,39,0,2
11,36,2,37,0,2
18,28,4,34,0,2
23,20,7,22,0,2
32,23,5,31,0,2
37,38,3,41,0,2
26,33,4,34,0,3
27,33,3,41,0,3
30,31,5,31,0,3
8,28,5,31,1,0
19,21,0,21,1,0
21,21,6,21,1,0
29,35,2,37,1,0
34,32,1,39,1,0
35,36,3,41,1,0
36,34,4,34,1,0
12,38,3,41,1,1
20,31,5,31,1,1
22,32,4,34,1,1
24,36,1,39,1,1
39,35,2,37,1,1
9,33,4,34,1,2
13,33,2,37,1,2
14,37,3,41,1,2
25,20,6,21,1,2
28,20,7,22,1,2
33,23,5,31,1,2
38,28,1,39,1,2
2,38,3,41,1,3
3,33,2,37,1,3
16,31,4,34,1,3
17,35,1,39,1,3
31,24,5,31,1,3
