subjects,number_student,rooms,num_seat,day,section
6,23,7,23,0,0
23,27,4,33,0,0
24,40,2,43,0,0
28,36,3,37,0,0
30,29,0,29,0,0
39,24,1,24,0,0
1,33,4,33,0,1
2,25,6,25,0,1
11,34,3,37,0,1
15,22,7,23,0,1
17,20,5,22,0,1
20,29,0,29,0,1
21,38,2,43,0,1
9,25,6,25,0,2
22,36,2,43,0,2
26,31,4,33,0,2
31,35,3,37,0,2
34,26,0,29,0,2
5,34,3,37,0,3
8,38,2,43,0,3
7,25,0,29,1,0
10,23,1,24,1,0
16,39,2,43,1,0
25,36,3,37,1,0
18,30,4,33,1,1
19,39,2,43,1,1
29,36,3,37,1,1
32,25,6,25,1,1
12,38,2,43,1,2
27,22,5,22,1,2
37,35,3,37,1,2
36,34,3,37,1,3
38,38,2,43,1,3
3,23,6,25,2,0
4,36,3,37,2,0
13,39,2,43,2,0
14,23,7,23,2,0
33,31,4,33,2,0
35,20,5,22,2,0
0,35,3,37,2,1
