subjects,number_student,rooms,num_seat,day,section
1,31,2,41,0,0
8,23,6,24,0,0
10,22,8,22,0,0
18,31,4,48,0,0
22,34,0,35,0,0
23,35,3,38,0,0
27,28,7,28,0,0
32,31,5,40,0,0
43,25,9,35,0,0
48,26,1,34,0,0
21,33,2,41,0,1
24,33,9,35,0,1
30,33,3,38,0,1
33,33,4,48,0,1
35,32,1,34,0,1
37,28,7,28,0,1
44,33,0,35,0,1
0,37,5,40,0,2
2,30,9,35,0,2
6,34,3,38,0,2
7,30,1,34,0,2
9,29,0,35,0,2
17,31,4,48,0,2
31,27,7,28,0,2
40,23,6,24,0,2
41,30,2,41,0,2
12,22,8,22,0,3
19,30,1,34,0,3
28,38,4,48,0,3
29,34,0,35,0,3
36,38,5,40,0,3
39,25,7,28,0,3
42,38,3,38,0,3
47,36,2,41,0,3
49,31,9,35,0,3
13,33,1,34,1,0
14,36,2,41,1,0
34,37,4,48,1,0
38,28,5,40,1,0
45,37,3,38,1,0
3,31,1,34,1,1
4,25,7,28,1,1
5,27,0,35,1,1
11,38,3,38,1,1
15,21,8,22,1,1
16,35,2,41,1,1
20,29,9,35,1,1
25,39,4,48,1,1
26,21,6,24,1,1
46,31,5,40,1,1
