subjects,number_student,rooms,num_seat,day,section
1,37,4,48,0,0
19,23,1,23,0,0
20,36,3,47,0,0
34,37,2,49,0,0
3,38,2,49,0,1
17,34,3,47,0,1
25,25,7,25,0,1
26,31,6,32,0,1
28,22,5,33,0,1
29,40,4,48,0,1
30,22,1,23,0,1
39,34,0,35,0,1
0,25,5,33,0,2
5,21,2,49,0,2
6,31,0,35,0,2
12,29,6,32,0,2
15,23,7,25,0,2
21,33,4,48,0,2
24,23,3,47,0,2
31,23,1,23,0,2
4,38,2,49,0,3
13,34,4,48,0,3
18,22,0,35,0,3
22,31,5,33,0,3
27,26,6,32,0,3
33,24,7,25,0,3
35,40,3,47,0,3
38,23,1,23,0,3
2,24,7,25,1,0
7,32,6,32,1,0
8,35,0,35,1,0
9,31,2,49,1,0
16,40,3,47,1,0
32,38,4,48,1,0
36,33,5,33,1,0
37,22,1,23,1,0
10,28,0,35,1,1
11,27,5,33,1,1
14,29,2,49,1,1
23,27,6,32,1,1
