subjects,number_student,rooms,num_seat,day,section
9,32,6,40,0,0
12,27,8,34,0,0
19,23,5,45,0,0
26,38,4,38,0,0
28,35,1,45,0,0
34,26,0,26,0,0
39,36,3,46,0,0
41,23,7,25,0,0
45,35,2,43,0,0
0,30,4,38,0,1
4,27,3,46,0,1
5,30,6,40,0,1
16,32,8,34,0,1
22,29,2,43,0,1
30,31,5,45,0,1
35,35,1,45,0,1
43,21,7,25,0,1
44,20,9,22,0,1
48,23,0,26,0,1
1,39,1,45,0,2
11,36,5,45,0,2
13,36,3,46,0,2
14,30,8,34,0,2
18,21,7,25,0,2
20,25,6,40,0,2
21,30,2,43,0,2
23,23,0,26,0,2
25,21,4,38,0,2
49,21,9,22,0,2
6,25,1,45,0,3
8,33,3,46,0,3
31,33,6,40,0,3
32,24,7,25,0,3
33,31,8,34,0,3
36,29,2,43,0,3
37,35,4,38,0,3
42,22,0,26,0,3
46,22,9,22,0,3
47,34,5,45,0,3
3,25,0,26,1,0
10,22,9,22,1,0
27,40,1,45,1,0
29,40,5,45,1,0
40,40,3,46,1,0
2,30,8,34,1,1
7,21,9,22,1,1
15,34,6,40,1,1
17,32,4,38,1,1
24,23,0,26,1,1
38,39,3,46,1,1
