subjects,number_student,rooms,num_seat,day,section
5,25,6,25,0,0
10,40,5,42,0,0
13,20,2,20,0,0
15,29,4,32,0,0
17,33,0,33,0,0
28,27,7,31,0,0
41,35,1,50,0,0
2,28,7,31,0,1
4,32,4,32,0,1
22,39,5,42,0,1
30,38,1,50,0,1
33,33,0,33,0,1
11,26,0,33,0,2
18,37,5,42,0,2
19,26,7,31,0,2
27,24,8,25,0,2
36,21,9,21,0,2
39,31,4,32,0,2
43,32,1,50,0,2
20,34,1,50,0,3
24,30,0,33,0,3
25,39,5,42,0,3
29,22,6,25,0,3
32,30,7,31,0,3
37,22,8,25,0,3
3,38,5,42,1,0
46,39,1,50,1,0
0,30,0,33,1,1
8,35,1,50,1,1
12,24,6,25,1,1
16,27,7,31,1,1
23,21,9,21,1,1
34,20,3,20,1,1
47,23,8,25,1,1
48,34,5,42,1,1
49,28,4,32,1,1
1,40,5,42,1,2
6,38,1,50,1,2
9,27,7,31,1,2
21,33,0,33,1,2
26,25,8,25,1,2
7,29,7,31,1,3
14,36,5,42,1,3
35,40,1,50,1,3
45,32,0,33,1,3
31,39,5,42,2,0
40,27,4,32,2,0
42,37,1,50,2,0
38,40,5,42,2,1
44,40,1,50,2,1
