subjects,number_student,rooms,num_seat,day,section
2,25,6,48,0,0
11,26,0,29,0,0
14,23,3,26,0,0
16,33,5,40,0,0
19,26,1,30,0,0
37,31,4,32,0,0
6,27,1,30,0,1
13,22,2,28,0,1
28,24,0,29,0,1
29,32,4,32,0,1
33,22,3,26,0,1
34,33,6,48,0,1
35,35,5,40,0,1
15,21,7,21,0,2
18,31,4,32,0,2
22,34,6,48,0,2
23,28,0,29,0,2
25,37,5,40,0,2
38,26,3,26,0,2
4,26,0,29,0,3
8,34,6,48,0,3
9,24,1,30,0,3
12,37,5,40,0,3
17,32,4,32,0,3
24,28,2,28,0,3
5,38,5,40,1,0
10,21,7,21,1,0
20,28,1,30,1,0
21,32,4,32,1,0
36,38,6,48,1,0
0,28,0,29,1,1
1,31,4,32,1,1
3,36,5,40,1,1
7,35,6,48,1,1
26,27,2,28,1,1
32,25,3,26,1,1
39,28,1,30,1,1
27,39,6,48,1,2
30,39,5,40,1,2
31,30,1,30,1,2
