subjects,number_student,rooms,num_seat,day,section
8,34,2,34,0,0
10,26,5,29,0,0
13,35,7,36,0,0
17,23,3,24,0,0
23,40,1,42,0,0
24,26,6,49,0,0
25,40,4,47,0,0
30,26,0,33,0,0
31,21,7,36,0,1
34,21,6,49,0,1
39,22,5,29,0,1
2,36,7,36,0,2
9,24,3,24,0,2
16,36,1,42,0,2
18,32,0,33,0,2
27,39,6,49,0,2
29,26,2,34,0,2
35,29,5,29,0,2
38,38,4,47,0,2
0,22,5,29,0,3
5,34,7,36,0,3
15,22,3,24,0,3
20,27,0,33,0,3
22,23,1,42,0,3
32,27,2,34,0,3
33,21,4,47,0,3
37,38,6,49,0,3
14,29,7,36,1,0
19,29,0,33,1,0
21,23,5,29,1,0
26,28,4,47,1,0
28,37,1,42,1,0
1,24,5,29,1,1
3,33,1,42,1,1
4,39,6,49,1,1
6,36,7,36,1,1
7,26,2,34,1,1
11,32,4,47,1,1
12,33,0,33,1,1
36,20,3,24,1,1
