subjects,number_student,rooms,num_seat,day,section
16,38,3,38,0,0
30,21,5,23,0,0
41,33,1,38,0,0
42,22,4,29,0,0
0,39,6,39,0,1
1,26,2,27,0,1
10,35,1,38,0,1
20,22,4,29,0,1
26,29,7,30,0,1
28,21,5,23,0,1
34,40,9,44,0,1
36,20,0,29,0,1
44,38,3,38,0,1
45,26,8,47,0,1
2,20,5,23,0,2
4,31,9,44,0,2
9,38,1,38,0,2
13,39,8,47,0,2
17,29,0,29,0,2
19,35,6,39,0,2
21,27,7,30,0,2
23,23,4,29,0,2
29,32,3,38,0,2
38,27,2,27,0,2
8,40,8,47,0,3
14,24,2,27,0,3
18,33,6,39,0,3
32,30,9,44,0,3
35,29,4,29,0,3
43,37,3,38,0,3
46,20,7,30,0,3
47,21,5,23,0,3
48,29,0,29,0,3
49,35,1,38,0,3
15,21,5,23,1,0
22,27,2,27,1,0
25,31,1,38,1,0
27,27,4,29,1,0
33,28,3,38,1,0
37,32,6,39,1,0
3,35,9,44,1,1
5,37,1,38,1,1
6,36,8,47,1,1
7,35,3,38,1,1
11,28,7,30,1,1
12,29,4,29,1,1
24,20,5,23,1,1
31,35,6,39,1,1
39,29,0,29,1,1
40,24,2,27,1,1
