subjects,number_student,rooms,num_seat,day,section
3,29,1,38,0,0
9,24,2,25,0,0
17,28,7,28,0,0
18,21,3,22,0,0
25,33,6,37,0,0
26,34,0,45,0,0
29,34,5,35,0,0
34,34,4,39,0,0
2,23,2,25,0,1
4,35,5,35,0,1
11,22,3,22,0,1
20,29,1,38,0,1
22,35,6,37,0,1
31,40,0,45,0,1
35,26,4,39,0,1
39,28,7,28,0,1
0,26,6,37,0,2
10,28,7,28,0,2
19,27,1,38,0,2
21,20,4,39,0,2
27,20,3,22,0,2
30,24,2,25,0,2
32,25,5,35,0,2
33,26,0,45,0,2
1,21,3,22,0,3
7,34,5,35,0,3
13,38,4,39,0,3
14,27,7,28,0,3
15,24,2,25,0,3
23,36,6,37,0,3
28,23,1,38,0,3
37,40,0,45,0,3
5,28,7,28,1,0
6,24,6,37,1,0
8,38,0,45,1,0
12,21,3,22,1,0
16,35,5,35,1,0
24,38,4,39,1,0
36,27,1,38,1,0
38,25,2,25,1,0
