subjects,number_student,rooms,num_seat,day,section
3,29,2,31,0,0
8,32,1,33,0,0
14,37,0,39,0,0
13,29,1,33,0,1
15,38,0,39,0,1
4,31,2,31,0,2
10,22,1,33,0,2
12,27,0,39,0,2
6,31,1,33,0,3
11,37,0,39,0,3
0,22,2,31,1,0
2,20,1,33,1,0
5,34,0,39,1,0
1,34,0,39,1,1
9,23,1,33,1,1
7,29,1,33,1,2
