subjects,number_student,rooms,num_seat,day,section
5,34,0,48,0,0
8,29,1,41,0,0
0,27,1,41,0,1
4,28,0,48,0,1
7,38,0,48,0,2
9,35,1,41,0,2
2,38,1,41,0,3
3,22,0,48,0,3
1,34,0,48,1,0
6,38,1,41,1,0
