subjects,number_student,rooms,num_seat,day,section
0,27,1,41,0,0
4,28,0,48,0,0
2,38,0,48,0,1
6,38,1,41,0,1
5,34,0,48,0,2
8,29,1,41,0,2
1,34,0,48,0,3
9,35,1,41,0,3
7,38,1,41,1,0
3,22,1,41,1,1
