subjects,number_student,rooms,num_seat,day,section
0,23,1,31,0,0
11,36,3,49,0,0
18,39,0,44,0,0
19,22,2,33,0,0
1,36,3,49,0,1
4,35,0,44,0,1
9,23,2,33,0,1
14,23,1,31,0,1
5,25,1,31,0,2
8,27,3,49,0,2
15,31,0,44,0,2
17,27,2,33,0,2
3,36,3,49,0,3
6,27,1,31,0,3
7,36,0,44,0,3
10,28,2,33,0,3
2,31,3,49,1,0
12,26,1,31,1,0
13,38,0,44,1,0
16,23,2,33,1,0
