subjects,number_student,rooms,num_seat,day,section
2,40,0,44,0,0
6,27,3,44,0,0
10,23,2,29,0,0
16,27,1,39,0,0
1,22,3,44,0,1
7,24,0,44,0,1
8,21,1,39,0,1
19,28,2,29,0,1
3,23,2,29,0,2
5,25,1,39,0,2
13,21,0,44,0,2
17,24,3,44,0,2
11,31,0,44,0,3
12,31,1,39,0,3
14,34,3,44,0,3
18,28,2,29,0,3
0,34,3,44,1,0
4,36,0,44,1,0
9,38,3,44,1,1
15,28,2,29,1,1
